SPXT,S5UTIL,S5TELS,S5RLST,S5MATR,S5INFT,S5INDU,S5HLTH,S5FINL,S5ENRS,S5CONS,S5COND,RUTPINTR,RUMRINTR,RUMCINTR,RU20VATR,RU20INTR,RU20GRTR,RU10VATR,RU10GRTR,NDUEEGF,NDDUWXUS,NDDUUK,NDDUPXJ,NDDUNA,NDDUJN,NDDUE15X,LMBITR,LG30TRUU,LBUSTRUU,BCOMTR
1592.08,150.55,132.07,97.73,145.53,309.02,248.54,376.19,367.78,224.9,239.11,245.84,2266.8201,714.5469,3081.84,3249.59,2067.982,1827.436,483.9,371.2369,112.503,2266.593,2801.632,1374.001,2497.148,2848.842,2479.616,570.1562,331.533,1024.46,165.339
1593.07,150.95,128.75,96.43,145.98,309.01,248.08,375.47,367.91,225.75,241.44,247.29,2267.6599,714.0557,3083.91,3247.75,2063.387,1819.723,484.741,370.8838,112.303,2264.251,2809.486,1376.018,2499.663,2820.825,2477.409,570.3003,331.7011,1025.24,165.617
1568.52,150.88,121.99,94.64,142.1,302.49,243.51,370.82,362.75,222.71,242.15,243.7,2229.8301,707.2236,3049.01,3214.54,2037.597,1791.962,477.754,364.8174,112.352,2259.346,2802.646,1376.482,2459.97,2871.132,2451.956,570.5189,331.936,1026.15,166.178
1558.79,152.22,122.59,93.77,140.6,295.63,243.15,365.75,360.9,221.96,242.62,244.19,2213.8701,706.9208,3042.43,3213.62,2035.032,1787.589,476.672,361.2133,112.428,2254.546,2784.745,1381.921,2442.521,2875.109,2449.276,571.6353,331.6434,1025.93,166.283
1547.74,151.1,123.33,94.03,139.58,290.34,241.83,364.79,359.17,217.4,242.18,243.01,2197.95,704.9904,3028.4,3201.57,2023.267,1772.822,474.068,358.4222,112.362,2252.325,2801.557,1381.851,2426.635,2865.872,2439.038,573.0958,331.7196,1029.42,164.799
1545.4,147.33,124.54,93.87,138.87,292.23,239.32,366.41,355.75,219.29,241.39,243.16,2194.8101,704.545,3029.44,3219.33,2029.455,1772.833,473.226,358.3839,110.754,2252.404,2803.677,1382.768,2424.563,2895.004,2426.291,573.9989,332.0243,1029.69,163.981
1524.08,144.65,122.05,93.63,139.4,281.59,236.06,363.52,353.97,217.27,240.14,239.13,2162.3501,695.3094,2996.52,3181.85,2000.329,1741.471,469.229,351.3268,110.726,2241.365,2781.628,1383.639,2390.123,2872.103,2420.622,574.0871,331.9948,1030.85,164.813
1508.75,144.39,116.72,93.46,136.96,282.5,231.56,357.86,350.98,216.68,239.93,235.68,2140.1299,692.7968,2970.61,3187.83,1996.673,1730.279,463.959,348.3989,109.187,2238.21,2783.191,1366.671,2365.293,2866.84,2420.712,574.244,332.2776,1029.42,165.812
1525,146.44,118.82,94.13,139.76,285.9,236.87,359.14,355.53,218.01,241.38,236.88,2162.1399,705.6117,3012.86,3248.3,2037.123,1768.119,469.585,352.0023,109.12,2244.058,2788.359,1370.773,2391.549,2850.098,2435.064,574.3412,331.8202,1029.8,167.183
1538.65,145.91,123.24,95.32,140.26,283.97,238.52,364.31,357.49,220.75,244.96,240.68,2182.52,706.8818,3025.64,3255.96,2037.91,1764.466,474.22,354.1658,109.094,2254.43,2775.043,1376.861,2413.809,2882.592,2450.528,574.7042,331.9412,1030.46,165.414
