Date,Open,High,Low,Close,Volumn
4/30/2009,1462.896275,1476.2073,1449.58525,1462.75,1
5/1/2009,1465.355745,1470.83412,1459.87737,1460.9,1
5/4/2009,1461.722885,1474.376278,1449.069492,1462.82,1
5/5/2009,1465.834902,1478.650064,1453.019739,1464.59,1
5/6/2009,1468.943339,1477.083357,1460.80332,1466.67,1
5/7/2009,1465.199213,1473.028242,1457.370183,1463.37,1
5/8/2009,1465.841736,1478.437898,1453.245574,1464.67,1
5/11/2009,1470.695802,1476.726861,1464.664743,1470.99,1
5/12/2009,1468.688,1478.624,1458.752,1472,1
5/13/2009,1477.245252,1479.900576,1474.589928,1475.18,1
5/14/2009,1474.938643,1486.36656,1463.510725,1474.57,1
5/15/2009,1473.02714,1478.633052,1467.421228,1475.24,1
5/18/2009,1475.131284,1478.369772,1471.892796,1472.04,1
5/19/2009,1474.321115,1487.07208,1461.57015,1474.1,1
5/20/2009,1477.494876,1480.897197,1474.092555,1479.27,1
5/21/2009,1473.785645,1484.614179,1462.95711,1473.27,1
5/22/2009,1468.81971,1476.465218,1461.174202,1470.29,1
5/26/2009,1471.069248,1481.637696,1460.5008,1467.84,1
5/27/2009,1460.702129,1466.028099,1455.376158,1459.17,1
5/28/2009,1456.093265,1465.2878,1446.89873,1459.45,1
5/29/2009,1473.802008,1487.651592,1459.952424,1473.36,1
6/1/2009,1462.920529,1470.894642,1454.946416,1463.14,1
6/2/2009,1467.422474,1475.277504,1459.567443,1468.23,1
6/3/2009,1471.63689,1473.404622,1469.869158,1473.11,1
6/4/2009,1467.92438,1472.540264,1463.308496,1465.36,1
6/5/2009,1455.91446,1457.805258,1454.023662,1454.46,1
6/8/2009,1454.974894,1464.187728,1445.76206,1450.84,1
6/9/2009,1451.943179,1459.87173,1444.014628,1454.78,1
6/10/2009,1445.240121,1451.335119,1439.145123,1451.19,1
6/11/2009,1462.534195,1469.739514,1455.328876,1455.62,1
6/12/2009,1458.771129,1469.141886,1448.400372,1460.67,1
6/15/2009,1470.021473,1478.890712,1461.152233,1465.99,1
6/16/2009,1470.335328,1473.56748,1467.103176,1469.16,1
6/17/2009,1472.451795,1484.013432,1460.890158,1472.82,1
6/18/2009,1458.201896,1464.194907,1452.208885,1461.71,1
6/19/2009,1468.682045,1473.29985,1464.064239,1465.97,1
6/22/2009,1466.424081,1472.605935,1460.242227,1471.87,1
6/23/2009,1480.174118,1488.354318,1471.993917,1473.91,1
6/24/2009,1467.53649,1472.68884,1462.38414,1472.1,1
6/25/2009,1479.746009,1485.73928,1473.752738,1479.82,1
6/26/2009,1483.347884,1491.200205,1475.495563,1481.57,1
6/29/2009,1480.040825,1489.60095,1470.480699,1482.19,1
6/30/2009,1484.555306,1488.40783,1480.702782,1481.74,1
7/1/2009,1489.11858,1496.82654,1481.41062,1482.3,1
7/2/2009,1482.4446,1489.429552,1475.459648,1486.16,1
7/6/2009,1491.18016,1496.086336,1486.273984,1486.72,1
7/7/2009,1489.700064,1503.026882,1476.373245,1489.03,1
7/8/2009,1492.204074,1501.263162,1483.144985,1497.37,1
7/9/2009,1489.084814,1498.035434,1480.134194,1491.77,1
7/10/2009,1496.236638,1506.056136,1486.41714,1499.16,1
7/13/2009,1497.506037,1504.625242,1490.386832,1498.78,1
7/14/2009,1495.561706,1502.58172,1488.541692,1493.62,1
7/15/2009,1484.339012,1492.36568,1476.312344,1486.42,1
7/16/2009,1490.44594,1500.57692,1480.31496,1489.85,1
7/17/2009,1483.163722,1492.085902,1474.241542,1487.03,1
7/20/2009,1493.623944,1496.90729,1490.340598,1492.43,1
7/21/2009,1495.600945,1499.65,1491.55189,1499.65,1
7/22/2009,1502.431254,1508.641812,1496.220696,1496.52,1
7/23/2009,1486.556815,1494.894039,1478.219591,1488.79,1
7/24/2009,1494.628854,1502.609556,1486.648152,1491.72,1
7/27/2009,1485.929295,1495.61787,1476.24072,1490.55,1
7/28/2009,1486.888083,1494.648615,1479.127551,1492.41,1
7/29/2009,1497.103425,1506.362319,1487.844531,1493.37,1
7/30/2009,1498.30409,1508.477298,1488.130882,1496.06,1
7/31/2009,1503.75795,1514.974968,1492.540932,1505.64,1
8/3/2009,1506.784818,1514.9596,1498.610036,1499.96,1
8/4/2009,1498.130508,1509.520856,1486.74016,1498.73,1
8/5/2009,1495.802239,1505.893354,1485.711124,1494.98,1
8/6/2009,1494.53483,1502.617442,1486.452218,1496.78,1
8/7/2009,1491.992905,1493.260782,1490.725028,1491.62,1
8/10/2009,1498.699475,1502.14545,1495.2535,1498.25,1
8/11/2009,1500.482837,1508.368652,1492.597022,1502.06,1
8/12/2009,1495.594345,1502.65116,1488.53753,1501.45,1
8/13/2009,1509.856656,1519.127904,1500.585408,1507.52,1
8/14/2009,1508.621018,1513.301956,1503.94008,1509.98,1
8/17/2009,1510.794732,1516.465032,1505.124432,1512.08,1
8/18/2009,1513.556622,1523.969964,1503.14328,1509.18,1
8/19/2009,1512.405825,1517.09194,1507.71971,1511.65,1
8/20/2009,1517.68372,1526.1624,1509.20504,1514.05,1
8/21/2009,1509.43793,1518.48551,1500.39035,1507.93,1
8/24/2009,1514.897892,1519.284954,1510.51083,1512.78,1
8/25/2009,1520.369664,1527.492608,1513.24672,1515.52,1
8/26/2009,1516.565825,1526.953781,1506.177868,1516.49,1
8/27/2009,1520.667227,1530.291223,1511.04323,1515.59,1
8/28/2009,1518.473808,1522.115232,1514.832384,1517.26,1
8/31/2009,1518.18754,1523.055476,1513.319604,1521.23,1
9/1/2009,1522.938407,1533.36897,1512.507843,1522.71,1
9/2/2009,1529.667315,1540.28205,1519.05258,1527.3,1
9/3/2009,1520.6418,1526.66792,1514.61568,1525.6,1
9/4/2009,1517.714674,1524.329632,1511.099716,1520.68,1
9/8/2009,1522.473003,1524.98295,1519.963056,1521.18,1
9/9/2009,1519.287645,1527.199809,1511.375481,1521.57,1
9/10/2009,1525.8292,1533.7826,1517.8758,1529.5,1
9/11/2009,1533.376992,1544.318208,1522.435776,1530.24,1
9/14/2009,1532.41349,1538.830376,1525.996604,1527.83,1
9/15/2009,1527.541056,1532.120016,1522.962096,1526.32,1
9/16/2009,1529.701803,1539.547212,1519.856394,1526.42,1
9/17/2009,1532.50852,1545.295376,1519.721664,1531.36,1
9/18/2009,1530.420945,1542.410171,1518.431718,1527.29,1
9/21/2009,1529.91267,1534.265304,1525.560036,1527.24,1
9/22/2009,1525.06445,1529.95885,1520.17005,1529.5,1
9/23/2009,1532.976105,1546.306332,1519.645878,1532.21,1
9/24/2009,1538.489243,1548.231857,1528.746628,1534.27,1
9/25/2009,1532.684589,1540.978503,1524.390675,1535.91,1
9/28/2009,1537.85,1553.2285,1522.4715,1537.85,1
9/29/2009,1537.204872,1543.356152,1531.053592,1537.82,1
9/30/2009,1534.904185,1545.357213,1524.451157,1537.21,1
10/1/2009,1543.56718,1547.733145,1539.401215,1542.95,1
10/2/2009,1543.595808,1549.760328,1537.431288,1541.13,1
10/5/2009,1544.53822,1551.399408,1537.677032,1541.84,1
10/6/2009,1541.057049,1544.83245,1537.281648,1540.98,1
10/7/2009,1552.40488,1559.208248,1545.601512,1546.22,1
10/8/2009,1538.554656,1549.816512,1527.2928,1542.72,1
10/9/2009,1539.17537,1546.162896,1532.187844,1535.72,1
10/13/2009,1540.717882,1546.036816,1535.398948,1541.72,1
10/14/2009,1534.918102,1540.605261,1529.230943,1537.07,1
10/15/2009,1533.255624,1536.401472,1530.109776,1534.56,1
10/16/2009,1533.958925,1540.030509,1527.88734,1537.11,1
10/19/2009,1536.543932,1539.92839,1533.159474,1538.39,1
10/20/2009,1548.251082,1557.042705,1539.459459,1542.39,1
10/21/2009,1542.767529,1550.691782,1534.843275,1538.69,1
10/22/2009,1536.7872,1549.7169,1523.8575,1539.25,1
10/23/2009,1533.087675,1541.848176,1524.327174,1536.93,1
10/26/2009,1528.992307,1536.583973,1521.40064,1533.67,1
10/27/2009,1535.940613,1541.40495,1530.476275,1539.25,1
10/28/2009,1546.667837,1551.681222,1541.654452,1542.58,1
10/29/2009,1536.338167,1549.872831,1522.803503,1538.03,1
10/30/2009,1546.11308,1548.81648,1543.40968,1544.8,1
11/2/2009,1545.32925,1547.2585,1543.4,1543.4,1
11/3/2009,1544.033637,1552.428054,1535.63922,1540.26,1
11/4/2009,1537.309369,1540.461326,1534.157412,1537.54,1
11/5/2009,1543.063643,1546.605252,1539.522034,1539.83,1
11/6/2009,1545.090104,1552.492472,1537.687736,1542.16,1
11/9/2009,1550.28453,1558.696986,1541.872073,1543.57,1
11/10/2009,1543.334344,1554.764162,1531.904526,1544.57,1
11/12/2009,1545.435864,1558.204224,1532.667504,1547.68,1
11/13/2009,1551.284538,1556.243194,1546.325882,1549.58,1
11/16/2009,1552.506697,1556.31777,1548.695624,1555.54,1
11/17/2009,1561.829897,1569.996429,1553.663364,1555.53,1
11/18/2009,1555.228872,1563.307176,1547.150568,1553.52,1
11/19/2009,1554.44454,1556.62098,1552.2681,1554.6,1
11/20/2009,1558.218305,1565.601752,1550.834857,1554.41,1
11/23/2009,1560.068786,1570.410666,1549.726905,1555.17,1
11/24/2009,1552.40016,1561.98432,1542.816,1558.4,1
11/25/2009,1554.629216,1563.207126,1546.051306,1559.62,1
11/27/2009,1562.567195,1572.027822,1553.106568,1563.74,1
11/30/2009,1564.25232,1575.7536,1552.75104,1564.8,1
12/1/2009,1563.788064,1568.940321,1558.635807,1561.29,1
12/2/2009,1563.093504,1574.318592,1551.868416,1559.04,1
12/3/2009,1551.235893,1558.473385,1543.9984,1556.45,1
12/4/2009,1548.362511,1554.41262,1542.312402,1551.31,1
12/7/2009,1554.575708,1555.586536,1553.56488,1555.12,1
12/8/2009,1561.376388,1565.19584,1557.556936,1558.96,1
